,name_txt_file,short_description,category,availability,price,images,full_description,hash_in
86,2020-12-14_10-44-35_UTC.txt,"🍓🥝🍍🍏 РАЗВИВАЮЩАЯ ЛОГАРИФМИЧЕСКАЯ ДОСКА ""3в1"" ""Фрукты""
",Математическое развитие и обучение,0,2800,"http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-12-14_10-44-35_UTC_1.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-12-14_10-44-35_UTC_2.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-12-14_10-44-35_UTC_3.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-12-14_10-44-35_UTC_4.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-12-14_10-44-35_UTC_5.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-12-14_10-44-35_UTC_6.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-12-14_10-44-35_UTC_7.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-12-14_10-44-35_UTC_8.jpg","⠀➡️ Многофункциональная развивающая логарифмическая доска ""Фрукты"" - это целый развивающий комплекс занимательных упражнений для развития детской логики.⠀Дает возможность изучать цвета, цифры, названия фруктов, знакомиться с понятием много-мало и тренировать навыки счета.⠀Размер деталей таков, что он позволяет активно задействовать мелкую моторику.⠀Также во время игры у малыша тренируется память, внимание и логическое мышление.⠀Ребенок научится подбирать подходящие по форме фигуры и вставлять их в специальные ячейки.⠀В комплекте есть деревянный ножик, которым можно легко разрезать, а потом снова соединить половинки фруктов(они на магнитах) или можно перемешать все дольки и попросить малыша собрать их в целое.⠀Игpа выполненa из качecтвеннoгo деpевa (кoлeчки - пластик) и покpыта coчными, гипоaллергенными кpасками.⠀Рекомендуемый возраст: от 2 лет.👶 ВОЗРАСТ: от 3-х лет🧪 МАТЕРИАЛ: дерево🛍️ УПАКОВКА: цветная коробка📦 КОЛ-ВО В ТРАНСПОРТНОЙ КОРОБКЕ: 36 шт.⠀#логарифмическаядоска#развивающаядоска#доскасцифрами#доскавкладыш#деревяннаяразвивающаядоска#многофункциональнаядоска#деревяннаялогарифмическаядоска#деревянныеигрушки#деревянныеигрушкиоптом#детскиеигрушкиоптом#игрушкисосклада#игрушкидлямалышей#развивающиеигрушки#развивающиеигрушкиоптом#игрушкиразвивающие#игрушкиразвивающиеоптом#детскиеигрушкиизкитая#игрушкиизкитаяоптом#игрушкиоптомиу#игрушкиоптомшаньтоу#игрушкиотпроизводителя#детскиеигрушкиотфабрики#игрушкинапрямуюотфабрики",1
98,2022-06-18_16-15-04_UTC.txt,"🃏 НАСТОЛЬНАЯ ИГРА ""Spot It!"" (Dobble /Доббл)
",Настольные игры,0,0,"http://localhost:8888/sabi/wp-content/uploads/2023/02/2022-06-18_16-15-04_UTC_1.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2022-06-18_16-15-04_UTC_2.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2022-06-18_16-15-04_UTC_3.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2022-06-18_16-15-04_UTC_4.jpg","➡️ Динамичная игра для всей семьи, развивающая зрительное восприятие, внимательность и реакцию!⠀На картах нарисованы веселые изображения, которые имеют по 1 копии на каждой другой карте в колоде, нужно первым увидеть это совпадение и сбросить карту.⠀Звучит очень просто, но это не совсем так, на деле игра превращается в увлекательное противостояние ловкости и внимательности.⠀Правила предлагают 5 основных мини-игры и еще 6 менее официальных вариантов, разработанных поклонниками игры.⠀Правила игры настолько просты, что их освоит и 4 летний ребенок.⠀А компактный размер жестяной коробочки позволит легко взять ее с собой в дорогу или на пикник.⠀👶 ВОЗРАСТ: от 3-х лет🛍️ УПАКОВКА: цветная коробка с окошками📦 КОЛ-ВО В ТРАНСПОРТНОЙ КОРОБКЕ: 60 шт.⠀#настольнаяигра#настольнаяиграоптом#настольныеигры#настольныеигрыоптом#настольныеигрысосклада#настольныеигрыалматы#игранастольнаяоптом#игрыдлясемьи#иградлядетей#игрыдлясемьиоптом#игрынастольныенедорого#гастольныеигрынедорого#настольнаяигранедорого#семейныеигры#игрыдлямальчиков#игрыдлядевочек#настольныеигрыоптомсосклада#иградоббл#добблигра#иградабл#даблигра#dobbleигра#играdobble#иградоббль#добльигра#добль#иградобл#иградобль",1
99,2020-01-27_08-08-44_UTC.txt,"✍️ МАГНИТНЫЙ ПЛАНШЕТ СО СТИЛУСОМ (380 ячеек)
",Магнитные доски и планшеты,1,1650,"http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-01-27_08-08-44_UTC_1.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-01-27_08-08-44_UTC_2.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-01-27_08-08-44_UTC_3.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-01-27_08-08-44_UTC_4.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-01-27_08-08-44_UTC_5.jpg","⠀➡️ Настоящая пиксельная графика, созданная с помощью магнитов - завораживающее зрелище!⠀Планшет представляет собой пластмассовую доску с ячейками, в которой катаются металлические шарики.⠀Каждый шарик можно поднять через дырочку магнитным стилусом (ручкой), и он зафиксируется возле поверхности.⠀Таким образом можно создавать разнообразные картины (в комплекте идет инструкция с множеством вариантов для рисования).⠀Чтобы убрать шарики с поверхности, достаточно просто провести по ней рукой.⠀Размер планшета 21х17 см, внутри 380 шариков и 380 ячеек.⠀#магнитныйпланшет#магнитныйпланшеталматы#магнитныйпланшетоптом#магнитныйпланшетастана#магнитныйпланшетшымкент#магниьныйпланшетсосклада",1
138,2020-04-18_19-22-46_UTC.txt,"🤴👸 ЛОГИЧЕСКАЯ ИГРА-ГОЛОВОЛОМКА ""Принц и Принцесса""
",Головоломки,0,3500,"http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-04-18_19-22-46_UTC_1.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-04-18_19-22-46_UTC_2.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-04-18_19-22-46_UTC_3.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-04-18_19-22-46_UTC_4.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-04-18_19-22-46_UTC_5.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-04-18_19-22-46_UTC_6.jpg","⠀➡️ Замечательная и увлекательная игра-головоломка для малышей и малышек.⠀Рыцарь и его прекрасная принцесса оказались разлучены и заточены в разные башни!⠀Ребятам предстоит оказаться в сказке, заново отстроить разрушенный злой ведьмой замок и помочь воссоединиться рыцарю и принцессе. А чтобы рыцарь и принцесса вновь взялись за руки, игроку нужно проложить дорожку из деревянных деталей, по которой влюбленные смогут пройти друг к другу.⠀Следуя продуманной инструкции, ребенок научиться из красивых деревянных деталей строить башни, мосты и замки и проложить путь от рыцаря к принцессе, чтобы влюбленные могли встретиться!⠀В игре шаг за шагом, кирпич за кирпичом, детишки смогут пройти путь от простых заданий для начинающих строителей до комплексных задач для опытных архитекторов.⠀Дети будут с удовольствием играть днями напролёт в увлекательную игру-головоломку!⠀В состав набора входят 8 блоков различной формы, подставка-фундамент, фигурка рыцаря, фигурка принцессы, блокнот с заданиями и ответами.⠀#настольнаяигра#настольныеигры#настольныеигрыоптом#настольныеигрысосклада#настольныеигрыалматы#игранастольная#игрыдлявсейсемьи#иградлядетей#настольныеигрыоптомсосклада#логическиеигрыоптом#логическаяигра#логическиеигры#логическиеигрыдлядетей#детскиелогическиеигры#логическиеигрыалматы#логическиеигрысосклада#логическиеигрынедорого#логическаяиграсосклада#логическаяиграоптом",1
140,2020-07-02_12-53-59_UTC.txt,"👶 ДЕТСКИЙ ИГРОВОЙ МАНЕЖ (сухой бассейн)
",Сюжетно-ролевые наборы,1,0,"http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-07-02_12-53-59_UTC_1.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-07-02_12-53-59_UTC_2.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-07-02_12-53-59_UTC_3.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-07-02_12-53-59_UTC_4.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-07-02_12-53-59_UTC_5.jpg","⠀- без мячиков - 6 200 KZT 🇰🇿 / 886 RUB 🇷🇺⠀- с 10 мячиками - 6 400 KZT 🇰🇿 / 914 RUB 🇷🇺⠀- свыше 11 штук - 6 000 KZT 🇰🇿 / 857 RUB 🇷🇺⠀➡️ Идеальное решение для детей в течение нескольких месяцев, которые часто «убегают» от обычного учебного коврика.⠀Отличный продукт для детей, которые уже сидят в одиночестве и ждут большей дозы удовольствия.⠀Детский манеж создаст безопасное место для игр и отдыха ребенка.⠀Характеристики товара:⠀- манеж предназначен для деток с 6-ти месяцев;⠀- удобное место для отдыха и игр малыша;⠀- быстро и легко складывается и раскладывается;⠀- боковые прозрачные стенки из воздухопроницаемой сетки, чтобы было удобно наблюдать за малышом;⠀- металлические стойки каркаса для прочности и надежности;⠀- один уровень высоты;⠀- не скользящие ножки.⠀Также манеж оснащен 10 цветными пластиковыми мячиками для активных игр.⠀Товар также отлично подойдёт для развлечения  как дома, так и во дворе на лужайке.⠀Размеры манежа: диаметр - 135 см., высота - 65 см.⠀Упаковка - крафтовая коробка.⠀⠀#детскиеманежи#манеждетский#манежкаркасный#каркасныйбассейн#сухойбассейнсшариками#манеждлядетей#детскийманежалматы#манежоптомалматы#детскиеманежиалматы#детскиеманежиоптом#манежиоптомалматы#сухойбассейналматы#сухойбассейноптом#манеждлядетейалматы#детскийманеж#детскиеманежиастана#манеждетскийастана#сухойбассейнастана",1
156,2020-07-19_14-36-03_UTC.txt,"💦 РАЗВИВАЮЩИЙ АКВА-КОВРИК.
",Игрушки для ванной,0,1100,"http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-07-19_14-36-03_UTC_1.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-07-19_14-36-03_UTC_2.jpg","⠀➡️ Развивающий акваковрик для детей способствует всестороннему развитию ребенка в игровой интерактивной форме.⠀Игры с водой - один из самых приятных и эффективных способов развития ребенка, но после них всегда требуется приборка.⠀С нашим ковриком можно играть с водой сколько угодно, оставаясь при этом сухим! Пусть ваш малыш плещется вместе с морскими обитателями прямо в центре комнаты!⠀Кроме того, коврик помогает укреплять мышцы спины, бедер, шеи, рук малыша, что очень важно для последующих навыков - переворачивания, ползания, сидения. Также это профилактика синдрома ""плоского затылка"".⠀Пусть ваш малыш растет здоровым, умным и сильным!⠀Количество морских фигурок внутри коврика: 5-6 шт.⠀Материал: ПВХ 0,25 мм.⠀Размер коврика: 50 * 66 см.⠀Товар упакован в цветную картонную коробку.⠀⠀#акваковрик#акваковрики#акваковрикиоптом#акваковрикиалматы#акваковрикидляразвития#акваковрикдлядетей#водныековрики#водныековрикиалматы#водныековрикидлямалышей#водныековрикиоптом#водныйковрикдляребенка#развивающийковрик#коврикидлядетей#развиавающиековрикиоптом#коврикидлядетейалматы#развивающийковрикдлядетей",1
157,2022-04-25_02-08-48_UTC.txt,"🧶 ДЕРЕВЯННАЯ ИГРА-ШНУРОВКА «Животные» / «Фрукты»
",Моторика,1,1400,"http://localhost:8888/sabi/wp-content/uploads/2023/02/2022-04-25_02-08-48_UTC_1.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2022-04-25_02-08-48_UTC_2.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2022-04-25_02-08-48_UTC_3.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2022-04-25_02-08-48_UTC_4.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2022-04-25_02-08-48_UTC_5.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2022-04-25_02-08-48_UTC_6.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2022-04-25_02-08-48_UTC_7.jpg","➡️ Забавная игра со шнуровкой - отличная развивающая игрушка для малышей.⠀Набор шнуровок включает в себя 4 животных (лев, крокодил, зебра и медведь) или 4 фрукта (ананас, арбуз, апельсин и яблоко), а также 4 цветных шнурка.⠀Ребенку предстоит непростая задача – сделать для животных красивую шубку или создать узоры на фруктах с помощью разноцветных шнурков.⠀Развивающий набор-шнуровка выполнен из экологичного дерева, в комплект входит шнурок из мягкой износостойкой ткани.⠀Фигурки тщательно обработаны и приятны на ощупь, исключен риск заноз.⠀Игра-шнуровка по методике Монтессори:⠀- ускорит процесс обучения малыша;⠀- способствует развитию мелкой моторики, тактильных ощущений, ловкости пальцев;⠀- улучшит координацию, тренирует зрение и глазомер;⠀- повышает концентрацию внимания;⠀- развивает усидчивость;⠀- научит самостоятельности и способности владеть своими ручками.👶 ВОЗРАСТ: от 3-лет🧪 МАТЕРИАЛ: дерево🛍️ УПАКОВКА: цветная картонная коробка📦 КОЛ-ВО В ТРАНСПОРТНОЙ КОРОБКЕ: 60 шт.#развивающаяигрушка#игрушкаразвивающая#развивающиеигрушкиоптом#оптомразвивающиеигрушки#обучающиеигрушки#игрушкидляразвития",1
161,2020-12-07_08-27-50_UTC.txt,"⛺ ДЕТСКИЙ ИГРОВОЙ КОМПЛЕКС ""3в1"" (палатка + тоннель + сухой бассейн)
",Палатки,0,5800,"http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-12-07_08-27-50_UTC_1.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-12-07_08-27-50_UTC_2.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-12-07_08-27-50_UTC_3.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-12-07_08-27-50_UTC_4.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-12-07_08-27-50_UTC_5.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-12-07_08-27-50_UTC_6.jpg","⠀➡️ Детский игровой многофункциональный комплекс  состоит из 2-х игровых зон: игрового домика и площадки для сухого бассейна, с баскетбольным кольцом, куда малыш сможет кидать мячик, что отлично развивает меткость, ловкость, координацию.⠀Соединены две зоны переходным тоннелем.⠀Внутри полно воздуха благодаря окошкам из москитной сетки.⠀Игровая выполнена в яркой расцветке и очень понравится деткам.⠀Палатка игровая подойдет как для игр дома, так и на свежем воздухе.⠀Такой комплекс можно взять в гости, на дачу или природу. Ее легко можно перенести из одной комнаты в другую.⠀Каждая зона очень легко разбирается и собирается.⠀Рекомендовано для детей от 2-х лет и старше.⠀#палаткадетскаяоптом#палаткасбассейном#палаткастонелемибассейном#детскаяигроваяпалатка#игроваяпалатка3в1#палатка3в1#палаткаигровая3в1#игроваяпалаткасбассейном#детскаяпалаткаалматы#игровыепалаткиоптом#детскиепалаткисосклада",1
168,2020-05-07_22-13-03_UTC.txt,"🎲 НАСТОЛЬНАЯ ИГРА ""Дженга"", 54 блока
",Настольные игры,1,1100,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-05-07_22-13-03_UTC.jpg,"⠀А знаете ли вы что такое Дженга?⠀Дженга – это башня из деревянных брусков, которая растёт вверх, падает и снова растёт!⠀Дженга – игра на ловкость рук, смекалку и чувство равновесия.⠀Игра неплохо тренирует моторику и аналитические способности. При этом она не требует от участников выработки стратегии и умственного напряжения, поэтому игровой процесс представляет собой расслабленное веселое времяпрепровождение.⠀Падающая башня - это популярная и интересная настольная игра для компании. Она не похожа на привычные игры. В ней нет фишек и карточек, зато есть бруски из натурального неокрашенного дерева.⠀Слово jenga — это повелительное наклонение от kujenga, в переводе с суахили означающего «строить».⠀Версия игры из блоков с цифрами.👶 ВОЗРАСТ: от 3-х лет🧪 МАТЕРИАЛ: дерево🛍️ УПАКОВКА: цветная коробка📦 КОЛ-ВО В ТРАНСПОРТНОЙ КОРОБКЕ: 50 шт.⠀#дженга#иградженга#дженгаигра#игрападающаябашня#падающаябашняигра#дженгаалматы#дженгаоптом#дженганедорого#jenga#играjenga#",1
172,2021-03-16_17-18-36_UTC.txt,"🚔🚖🚘 МЯГКИЕ МАШИНКИ ДЛЯ МАЛЫШЕЙ
",Игрушки для малышей,0,1200,"http://localhost:8888/sabi/wp-content/uploads/2023/02/2021-03-16_17-18-36_UTC_1.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2021-03-16_17-18-36_UTC_2.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2021-03-16_17-18-36_UTC_3.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2021-03-16_17-18-36_UTC_4.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2021-03-16_17-18-36_UTC_5.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2021-03-16_17-18-36_UTC_6.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2021-03-16_17-18-36_UTC_7.jpg","⠀➡️ Эти красочные и веселые игрушки предназначены для самых маленьких и могут стать первыми машинками в жизни малыша.⠀Машинки быстро и легко ездят по любым поверхностям благодаря инерционному механизму колес.⠀На пластиковых колёсиках имеются резиновые накладки – для лучшего сцепления с полом и бесшумной езды.⠀Пластиковые колёсные блоки легко снимаются и отделяются от мягкого кузова.⠀Без колёс мягконабивные машинки абсолютно мягкие и совершенно безопасны, т.к. полностью отсутствуют твёрдые детали. Малыш может играть с ними в своей кроватке, и даже спать с ними.⠀Машинки стимулируют малыша к активным действиям и движению, способствуют развитию общей моторики, расширяют кругозор.⠀В процессе игры развивается координация, точность и слаженность движений, двигательная активность, пространственное представление.⠀Очень полезная игрушка в психологическом и эмоциональном развитии ребенка.⠀Изделие можно подвергать стирке на Деликатном режиме.⠀⠀#мягкиемашики#тряпичныемашинки#мягконабивныемашинки#машинкимягконабивные#машинкидлямалышей#мягконабивныеигрушки#товарыдлямалышей",1
175,2020-09-10_13-22-28_UTC.txt,"🚂 ДЕРЕВЯННЫЙ НАБОР «ЖЕЛЕЗНАЯ ДОРОГА» (33 предмета)
",Сюжетно-ролевые наборы,0,2850,"http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-09-10_13-22-28_UTC_1.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-09-10_13-22-28_UTC_2.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-09-10_13-22-28_UTC_3.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-09-10_13-22-28_UTC_4.jpg","⠀➡️ Деревянный конструктор позволит малышу собрать настоящую железную дорогу с поездами, знаками и зданиями.По дороге можно запустить поезд, состоящий из локомотива и 2-х вагонов.⠀Деревянные элементы тщательно отшлифованы, имеют гладкую и ровную поверхность и соединяются друг с другом по типу пазлов с помощью выступов и углублений.Надёжное сцепление крепко удерживает детали вместе, позволяя поезду двигаться бесперебойно.⠀Для облегчения сборки на обратной стороне коробки имеется подробная инструкция.⠀Дорогу можно удлинить или усложнить с помощью дополнительных элементов.⠀Поезд раскрашен в яркие цвета, и оснащён подвижными колесами, которые могут перемещаться по рельсам деревянной железной дороги.⠀Благодаря встроенным магнитам к локомотиву и вагонам можно прикрепить дополнительные вагоны и прицепы из других наборов, чтобы удлинить поезд.⠀В наборе также находятся фигурки, автомобили, дорожные знаки и другие аксессуары для увлекательной игры.⠀В наборе: дорога из 19 частей, 3 вагончика на магнитах, 2 машинки; дорожные знаки; +9 дополнительных предметов.⠀👶 ВОЗРАСТ: от 3-х лет🧪 МАТЕРИАЛ: дерево🛍️ УПАКОВКА: цветная коробка📦 КОЛ-ВО В ТРАНСПОРТНОЙ КОРОБКЕ: 36 шт.⠀#деревяннаяигрушка#развивающиеигрушки#развивайка#развивашки#развивайкадлядетей#развивашкадлядетей#игрушкимонтессори#монтессориигрушки#деревянныеигрушки#деревянныеигрушкиоптом#деревянныеигрушкиоптомалматы#развивашкидлямалышей#деревянныеигрушкидлямалышей#деревянныеигрушкимонтессори#монтессори#монтессориигрушка#монтессориигрушкиоптом#монтессориигрушкиоптомалматы#игрушкимонтессориоптом#игрушкимонтессориоптомалматы#игрушкаоптом#игрушкиоптомалматы#игрушкиалматы#игрушкисосклада#игрушкисоскладаалматы",1
182,2020-06-14_19-20-05_UTC.txt,"👧 🐺 НАСТОЛЬНАЯ ИГРА-ГОЛОВОЛОМКА ""Красная Шапочка и Серый волк"".
",Головоломки,0,0,"http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-06-14_19-20-05_UTC_1.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-06-14_19-20-05_UTC_2.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-06-14_19-20-05_UTC_3.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-06-14_19-20-05_UTC_4.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-06-14_19-20-05_UTC_5.jpg","⠀➡️ Откройте магию популярной сказки в этой замечательной игре - головоломке для дошкольников.⠀Вы можете помочь Красной Шапочке найти дорогу к своей бабушке?⠀Пора отправляться ей к бабушке! Корзинка с пирожками в руках, красная шапочка на голове, а впереди тёмный и страшный лес с серым волком в придачу.⠀1-й режим игры:⠀Как известно, дом бабушки стоит посреди леса, и отыскать его непросто. Нужно помочь девочке найти дорогу к бабушке, и сделать это можно 24 разными способами. В этом поможет буклет с заданиями, в котором указано, как нужно расставить деревья и домик.⠀Задача ребенка: выстроить элементы с рисунком дороги так, чтобы собранная дорожка вела от фигурки Красной Шапочки к дому.⠀2-й режим игры:⠀Чтобы усложнить игру и сделать сюжет узнаваемым, можно добавить на игровое поле фигурку волка. Он тоже стремится попасть в домик бабушки, и теперь нужно помочь обоим героям найти правильную дорогу. Кто из них окажется быстрее, зависит от того, как решится головоломка. Всего заданий с участием волка тоже 24.⠀Игра включает буклет с 48 заданиями (24 с волком и 24 без него) и книгу с картинками современной интерпретации оригинальной истории про Красную Шапочку.⠀⠀#настольнаяигра#настольныеигры#настольныеигрыоптом#настольныеигрысосклада#настольныеигрыалматы#игранастольная#игрыдлявсейсемьи#иградлядетей#настольныеигрыоптомсосклада#логическиеигрыоптом#логическаяигра#логическиеигры#логическиеигрыдлядетей#детскиелогическиеигры#логическиеигрыалматы#логическиеигрысосклада#логическиеигрынедорого#логическаяиграсосклада#логическаяиграоптом",1
189,2021-04-17_23-50-07_UTC.txt,"🦊🐵🦁 МЯГКИЕ РАЗВИВАЮЩИЕ ИГРУШКИ-ПОДВЕСКИ С ПРОРЕЗЫВАТЕЛЯМИ (в ассортименте)
",Игрушки для малышей,1,2100,"http://localhost:8888/sabi/wp-content/uploads/2023/02/2021-04-17_23-50-07_UTC_1.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2021-04-17_23-50-07_UTC_2.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2021-04-17_23-50-07_UTC_3.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2021-04-17_23-50-07_UTC_4.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2021-04-17_23-50-07_UTC_5.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2021-04-17_23-50-07_UTC_6.jpg","➡️ Развивающие текстильные игрушки-подвески в виде ярких, мягких, озорных зверушек из гипоаллергенных разнотекстурных материалов, непременно станут одной из первых и любимых игрушек малыша.⠀Мягкие текстильные игрушки-подвески наделены массой развивающих элементов:⠀- разнофактурный материалы с множеством декоративных элементов помогут развить у ребенка сенсорное, тактильное и слуховое восприятия, мелкую моторику рук, координацию движений, концентрацию внимания и двигательную активность.⠀- яркие и гармонично подобранные цвета способствуют тренировке зрения и развитию цветовосприятия.⠀- игрушки развивают слух у ребенка, так как в голове каждой из игрушек спрятан колокольчик.⠀- каждая игрушка оснащена прорезывателями для зубов (у котенка прорезыватель для зубов в виде рыбки, который прячется в боковой карманчик; у обезьянки прикольный бананчик; у слоника листочек; у собачки – косточка и т.д.) Когда у вашего малыша начнут резаться зубки, то он с удовольствием будет их грызть.⠀-дополнительно, у каждой игрушки на шее есть бандана, которую можно легко снять/одеть и тоже погрызть.⠀- на некоторых игрушках есть небольшое зеркальце, в котором ваш малыш обязательно найдет своё отражение.⠀- наличие шуршащих элементов, ребенку захочется снова и снова их потрогать.⠀Игрушки легко крепятся к любой коляске или кроватке с помощью большого пластикового кольца (карабина), входящего в комплект.⠀Игрушки изготовлены из натуральных, абсолютно безопасных и гипоаллергенных материалов (бархат, плюш, велюр, хлопок).⠀Идеально подходят для игр дома и во время прогулок на свежем воздухе.⠀Рекомендованный возраст: от 0+ месяцев.⠀Размер игрушек: в среднем 20-25 см. (без учета кольца-карабина).⠀#мягкаяигрушка#тканеваяигрушка#плюшеваяигрушка#игрушкаподвеска#мягкиеигрушки#игрушкапрорезыватель#игрушкагрызунок#игрушкасгрызунком#плюшевыеигрушки#игрушкиподвески#мягкаяигрушкадлямалыша#плюшевыеигрушкиоптом#мягконабивнаяигрушка#мягконабивныеигрушки#мягконабивныеигрушкиоптом#игрушкиоптом#текстильныеигрушки#текстильныеигрушкиоптом#мягкаяпогремушка",1
197,2021-04-23_17-51-08_UTC.txt,"📚 МЯГКИЕ ТАКТИЛЬНЫЕ КНИЖКИ С ХВОСТАМИ с подвеской-прорезывателем
",Игрушки для малышей,1,1300,"http://localhost:8888/sabi/wp-content/uploads/2023/02/2021-04-23_17-51-08_UTC_1.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2021-04-23_17-51-08_UTC_2.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2021-04-23_17-51-08_UTC_3.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2021-04-23_17-51-08_UTC_4.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2021-04-23_17-51-08_UTC_5.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2021-04-23_17-51-08_UTC_6.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2021-04-23_17-51-08_UTC_7.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2021-04-23_17-51-08_UTC_8.jpg","➡️ Кто сказал, что книги нужны только для чтения?⠀Мягкая тактильная книжка с хвостами – это яркая, увлекательная и занимательная игрушка, которая поможет ребенку в раннем развитии.⠀Тканевая книжка лучше всего подойдет на роль первой книжечки вашего ребенка. Он подолгу будет рассматривать яркие рисунки и изучать, щупать и пробовать на вкус яркие торчащие хвосты загадочных животных.⠀Отличительной особенностью книжек является наличие подвески-прорезывателя, так необходимая при прорезывании первых зубов малыша.⠀Странички книжки обладают ""шуршащими"" свойствами.⠀Яркие разнофактурные хвостики жителей книжки таинственно выглядывают, и так и манят потянуть, пощупать и перевернуть очередную страничку.⠀Изучая двухсторонние страницы, малыш сможет познакомится с окружающим миром в удобной игровой форме.⠀Преимущество такой книги в том, что об неё невозможно поранится, а в случае загрязнения её легко отмыть.!⠀С ними можно поиграть в песочнице, на пляже и ванной. Они не рвутся и не боятся влаги.⠀Книжки изготовлены из качественных текстильных материалов.⠀Мягкая тканевая книжка способствует развитию тактильного и зрительного восприятия, хватательных рефлексов и мелкой моторики ребенка.⠀Книжка состоит из 8 страниц.⠀🧪 МАТЕРИАЛ: комбинированные ткани🛍️ УПАКОВКА: полиэтиленовый мешок📦 КОЛ-ВО В ТРАНСПОРТНОЙ КОРОБКЕ: 300 шт.⠀#тканеваякнижка#тканеваякнига#мягкаякнигасхаостами#книжкасхвостами#тканеваякнижкасхвостами#книжкадлямалышей#книгадлямалыша#книгасхвостами#мягкаякнижка#мягкаякнига#мягкаякнигадлямалыша#тканеваякнижка#книжкатканевая",1
